,{},"{kubernetes_node=""node1""}","{kubernetes_node=""node2""}","{kubernetes_node=""node3""}","{kubernetes_node=""node4""}","{kubernetes_node=""node5""}"
2022-11-09 17:36:00,8628789248.0,4515422208.0,1062199296.0,1025331200.0,1049559040.0,980930560.0
2022-11-09 17:36:01,8629399552.0,4510470144.0,1059504128.0,1025642496.0,1063911424.0,976744448.0
2022-11-09 17:36:02,8626069504.0,4517351424.0,1063485440.0,1023418368.0,1048444928.0,976936960.0
2022-11-09 17:36:03,8624140288.0,4516204544.0,1060786176.0,1022259200.0,1048510464.0,976355328.0
2022-11-09 17:36:04,8628174848.0,4518948864.0,1061875712.0,1022251008.0,1048625152.0,976969728.0
2022-11-09 17:36:05,8633057280.0,4518604800.0,1061740544.0,1022550016.0,1049284608.0,978718720.0
2022-11-09 17:36:06,8632131584.0,4524883968.0,1060749312.0,1022746624.0,1049227264.0,977911808.0
2022-11-09 17:36:07,8641601536.0,4550045696.0,1062772736.0,1024458752.0,1049620480.0,979202048.0
2022-11-09 17:36:08,8635998208.0,4519096320.0,1061613568.0,1026260992.0,1050877952.0,980267008.0
2022-11-09 17:36:09,8636010496.0,4519829504.0,1059102720.0,1025101824.0,1048813568.0,980029440.0
2022-11-09 17:36:10,8633614336.0,4519120896.0,1060757504.0,1026875392.0,1047326720.0,979439616.0
2022-11-09 17:36:11,8642035712.0,4518191104.0,1058758656.0,1027334144.0,1068613632.0,979566592.0
2022-11-09 17:36:12,8650244096.0,4549984256.0,1062535168.0,1025130496.0,1051373568.0,980246528.0
2022-11-09 17:36:13,8671215616.0,4556009472.0,1061359616.0,1026912256.0,1051090944.0,980148224.0
2022-11-09 17:36:14,8661680128.0,4555005952.0,1057959936.0,1024434176.0,1047166976.0,978886656.0
2022-11-09 17:36:15,8662777856.0,4555493376.0,1058537472.0,1023246336.0,1046974464.0,977809408.0
2022-11-09 17:36:16,8660934656.0,4559511552.0,1057705984.0,1022730240.0,1046274048.0,977293312.0
2022-11-09 17:36:17,8663494656.0,4555526144.0,1058480128.0,1023705088.0,1046020096.0,978325504.0
2022-11-09 17:36:18,8667267072.0,4557250560.0,1061339136.0,1026486272.0,1047883776.0,977907712.0
2022-11-09 17:36:19,8666902528.0,4556042240.0,1060204544.0,1025830912.0,1047994368.0,975335424.0
2022-11-09 17:36:20,8667070464.0,4554534912.0,1059106816.0,1025798144.0,1049161728.0,976691200.0
2022-11-09 17:36:21,8672411648.0,4554407936.0,1062240256.0,1023983616.0,1066962944.0,978014208.0
2022-11-09 17:36:22,8664371200.0,4553285632.0,1062187008.0,1022898176.0,1047748608.0,976531456.0
2022-11-09 17:36:23,8669925376.0,4558950400.0,1061355520.0,1023524864.0,1048195072.0,979951616.0
2022-11-09 17:36:24,8675803136.0,4557475840.0,1061519360.0,1024217088.0,1051025408.0,980856832.0
2022-11-09 17:36:25,8674156544.0,4557336576.0,1060102144.0,1024700416.0,1049370624.0,981147648.0
2022-11-09 17:36:26,8669175808.0,4563472384.0,1059962880.0,1024311296.0,1047736320.0,978178048.0
2022-11-09 17:36:27,8666116096.0,4552863744.0,1060065280.0,1023832064.0,1047433216.0,979722240.0
2022-11-09 17:36:28,8666804224.0,4554833920.0,1059979264.0,1026641920.0,1046396928.0,980946944.0
2022-11-09 17:36:29,8662441984.0,4555210752.0,1060835328.0,1025282048.0,1045356544.0,980750336.0
2022-11-09 17:36:30,8664743936.0,4556988416.0,1060110336.0,1025540096.0,1045876736.0,975552512.0
2022-11-09 17:36:31,8674861056.0,4557959168.0,1059520512.0,1025937408.0,1066311680.0,975732736.0
2022-11-09 17:36:32,8662622208.0,4556640256.0,1061187584.0,1022074880.0,1047175168.0,979054592.0
2022-11-09 17:36:33,8666464256.0,4556488704.0,1061900288.0,1023979520.0,1048682496.0,977342464.0
2022-11-09 17:36:34,8673783808.0,4556296192.0,1064992768.0,1023049728.0,1050214400.0,977080320.0
2022-11-09 17:36:35,8673656832.0,4555239424.0,1059397632.0,1024409600.0,1049657344.0,979369984.0
2022-11-09 17:36:36,8670396416.0,4560429056.0,1062150144.0,1026240512.0,1045479424.0,979243008.0
2022-11-09 17:36:37,8668254208.0,4555010048.0,1063759872.0,1024462848.0,1045872640.0,980049920.0
2022-11-09 17:36:38,8679391232.0,4561125376.0,1064701952.0,1026437120.0,1048375296.0,980307968.0
2022-11-09 17:36:39,8683315200.0,4560625664.0,1063636992.0,1028276224.0,1048125440.0,982478848.0
2022-11-09 17:36:40,8678907904.0,4563795968.0,1059782656.0,1027600384.0,1048547328.0,982093824.0
2022-11-09 17:36:41,8691875840.0,4564049920.0,1060364288.0,1026359296.0,1064296448.0,981934080.0
2022-11-09 17:36:42,8678957056.0,4561276928.0,1062961152.0,1029193728.0,1047707648.0,979804160.0
2022-11-09 17:36:43,8672321536.0,4556627968.0,1059594240.0,1029431296.0,1046740992.0,979677184.0
2022-11-09 17:36:44,8673296384.0,4558295040.0,1059926016.0,1031012352.0,1046036480.0,977641472.0
2022-11-09 17:36:45,8675360768.0,4559212544.0,1061691392.0,1031315456.0,1046392832.0,979062784.0
2022-11-09 17:36:46,8682061824.0,4569006080.0,1061859328.0,1030574080.0,1047838720.0,978608128.0
2022-11-09 17:36:47,8685801472.0,4561604608.0,1067143168.0,1030737920.0,1049452544.0,979963904.0
2022-11-09 17:36:48,8686518272.0,4564819968.0,1067671552.0,1030402048.0,1048494080.0,978509824.0
2022-11-09 17:36:49,8689549312.0,4564099072.0,1067839488.0,1028046848.0,1048428544.0,977764352.0
2022-11-09 17:36:50,8687669248.0,4562571264.0,1065807872.0,1029394432.0,1050378240.0,977797120.0
2022-11-09 17:36:51,8698798080.0,4562915328.0,1062985728.0,1029136384.0,1058127872.0,977440768.0
2022-11-09 17:36:52,8687304704.0,4567207936.0,1065209856.0,1029578752.0,1050476544.0,979214336.0
2022-11-09 17:36:53,8683851776.0,4566142976.0,1063194624.0,1028562944.0,1051000832.0,978665472.0
2022-11-09 17:36:54,8685006848.0,4563955712.0,1064095744.0,1028505600.0,1052000256.0,978440192.0
2022-11-09 17:36:55,8691937280.0,4565843968.0,1063157760.0,1029165056.0,1052516352.0,977059840.0
2022-11-09 17:36:56,7705354240.0,4571774976.0,1062952960.0,1029316608.0,1047744512.0,978612224.0
2022-11-09 17:36:57,7702736896.0,4561006592.0,1063268352.0,1029672960.0,1048494080.0,
2022-11-09 17:36:58,7705575424.0,4565356544.0,1062633472.0,1030668288.0,1047547904.0,
2022-11-09 17:36:59,7704772608.0,4564283392.0,1061654528.0,1029111808.0,1050546176.0,
2022-11-09 17:37:00,7699009536.0,4562063360.0,1063706624.0,1028313088.0,1050443776.0,
2022-11-09 17:37:01,7712714752.0,4563947520.0,1062588416.0,1023795200.0,1069006848.0,
2022-11-09 17:37:02,7700045824.0,4561965056.0,1065418752.0,1022242816.0,1049890816.0,
2022-11-09 17:37:03,7701696512.0,4564267008.0,1061634048.0,1025040384.0,1049763840.0,
2022-11-09 17:37:04,7700844544.0,4562444288.0,1063174144.0,1025605632.0,1049735168.0,
2022-11-09 17:37:05,7701397504.0,4561735680.0,1063555072.0,1025638400.0,1049374720.0,
2022-11-09 17:37:06,7702241280.0,4570128384.0,1059983360.0,1026854912.0,1049780224.0,
2022-11-09 17:37:07,7698857984.0,4561715200.0,1061662720.0,1025114112.0,1049526272.0,
2022-11-09 17:37:08,7700467712.0,4564586496.0,1062064128.0,1026723840.0,1047711744.0,
2022-11-09 17:37:09,7700361216.0,4565495808.0,1062899712.0,1026396160.0,1045893120.0,
2022-11-09 17:37:10,7707504640.0,4566622208.0,1066807296.0,1027559424.0,1047257088.0,
2022-11-09 17:37:11,7716179968.0,4563193856.0,1065750528.0,1028214784.0,1068556288.0,
2022-11-09 17:37:12,7711711232.0,4572921856.0,1067925504.0,1024626688.0,1048375296.0,
2022-11-09 17:37:13,7713878016.0,4574470144.0,1063915520.0,1026367488.0,1049276416.0,
2022-11-09 17:37:14,7717937152.0,4575309824.0,1062977536.0,1028206592.0,1050308608.0,
2022-11-09 17:37:15,7714664448.0,4574703616.0,1063190528.0,1028284416.0,1050816512.0,
2022-11-09 17:37:16,7712903168.0,4581580800.0,1063915520.0,1026445312.0,1047654400.0,
2022-11-09 17:37:17,7711449088.0,4576014336.0,1064480768.0,1025810432.0,1047449600.0,
2022-11-09 17:37:18,7714516992.0,4576215040.0,1065082880.0,1025409024.0,1049640960.0,
2022-11-09 17:37:19,7714635776.0,4574924800.0,1064267776.0,1024684032.0,1049616384.0,
2022-11-09 17:37:20,7731924992.0,4576198656.0,1064222720.0,1025482752.0,1049645056.0,
2022-11-09 17:37:21,7727300608.0,4575174656.0,1061318656.0,1028505600.0,1066573824.0,
2022-11-09 17:37:22,7711080448.0,4577005568.0,1066196992.0,1026473984.0,1047121920.0,
2022-11-09 17:37:23,7706943488.0,4571041792.0,1062649856.0,1026002944.0,1045024768.0,
2022-11-09 17:37:24,7704530944.0,4571176960.0,1061826560.0,1025511424.0,1045413888.0,
2022-11-09 17:37:25,7709536256.0,4572532736.0,1063243776.0,1027207168.0,1047601152.0,
2022-11-09 17:37:26,7714844672.0,4584591360.0,1063477248.0,1027788800.0,1046183936.0,
2022-11-09 17:37:27,7711641600.0,4574121984.0,1064230912.0,1029419008.0,1046667264.0,
2022-11-09 17:37:28,7719149568.0,4573728768.0,1062739968.0,1028186112.0,1047691264.0,
2022-11-09 17:37:29,7713054720.0,4574179328.0,1062916096.0,1027203072.0,1047027712.0,
2022-11-09 17:37:30,7715487744.0,4574625792.0,1065525248.0,1029021696.0,1047609344.0,
2022-11-09 17:37:31,7730012160.0,4577927168.0,1062203392.0,1028861952.0,1068412928.0,
2022-11-09 17:37:32,7715532800.0,4577419264.0,1064583168.0,1029111808.0,1047810048.0,
2022-11-09 17:37:33,7709798400.0,4576788480.0,1061232640.0,1029582848.0,1045311488.0,
2022-11-09 17:37:34,7714136064.0,4579975168.0,1063010304.0,1027366912.0,1046163456.0,
2022-11-09 17:37:35,7713980416.0,4576583680.0,1063133184.0,1026506752.0,1047539712.0,
2022-11-09 17:37:36,7715045376.0,4583108608.0,1063460864.0,1026764800.0,1048182784.0,
2022-11-09 17:37:37,7716327424.0,4573257728.0,1064558592.0,1026838528.0,1050271744.0,
2022-11-09 17:37:38,7717617664.0,4573278208.0,1065795584.0,1029234688.0,1050202112.0,
2022-11-09 17:37:39,8691769344.0,4582404096.0,1063948288.0,1030299648.0,1047478272.0,
2022-11-09 17:37:40,8795246592.0,4630282240.0,1065435136.0,1028055040.0,1051680768.0,974741504.0
2022-11-09 17:37:41,8768167936.0,4645326848.0,1089990656.0,1053683712.0,1071394816.0,987922432.0
2022-11-09 17:37:42,8793845760.0,4590821376.0,1098702848.0,1052020736.0,1073197056.0,984027136.0
2022-11-09 17:37:43,8807219200.0,4593553408.0,1099759616.0,1052741632.0,1071173632.0,982896640.0
2022-11-09 17:37:44,8794304512.0,4592418816.0,1096884224.0,1054519296.0,1072611328.0,993304576.0
2022-11-09 17:37:45,8797765632.0,4596387840.0,1097302016.0,1040343040.0,1062047744.0,994713600.0
2022-11-09 17:37:46,8758722560.0,4602736640.0,1075630080.0,1037484032.0,1056747520.0,992956416.0
2022-11-09 17:37:47,8746721280.0,4597248000.0,1074212864.0,1034805248.0,1056538624.0,994267136.0
2022-11-09 17:37:48,8749260800.0,4596506624.0,1074552832.0,1033428992.0,1058127872.0,984662016.0
2022-11-09 17:37:49,8749764608.0,4596695040.0,1074561024.0,1033744384.0,1056677888.0,984694784.0
2022-11-09 17:37:50,8756027392.0,4596719616.0,1075122176.0,1035567104.0,1057067008.0,984403968.0
2022-11-09 17:37:51,8769044480.0,4602109952.0,1075519488.0,1034702848.0,1074135040.0,983314432.0
2022-11-09 17:37:52,8751722496.0,4594356224.0,1077837824.0,1036165120.0,1055965184.0,984092672.0
2022-11-09 17:37:53,8743374848.0,4595687424.0,1074364416.0,1034493952.0,1056370688.0,985088000.0
2022-11-09 17:37:54,8772755456.0,4626894848.0,1071837184.0,1034723328.0,1058734080.0,985038848.0
2022-11-09 17:37:55,8760066048.0,4593258496.0,1073758208.0,1038303232.0,1056632832.0,985047040.0
2022-11-09 17:37:56,8747982848.0,4631183360.0,1074618368.0,1037819904.0,1054347264.0,983552000.0
2022-11-09 17:37:57,8783147008.0,4657889280.0,1076371456.0,1037074432.0,1056153600.0,988209152.0
2022-11-09 17:37:58,8876863488.0,4604452864.0,1101508608.0,1038729216.0,1055420416.0,1012105216.0
2022-11-09 17:37:59,8866648064.0,4599672832.0,1105661952.0,1072451584.0,1084866560.0,1016971264.0
2022-11-09 17:38:00,8875200512.0,4597055488.0,1104560128.0,1075449856.0,1088098304.0,1010896896.0
2022-11-09 17:38:01,8893231104.0,4599169024.0,1105559552.0,1077813248.0,1105747968.0,1011781632.0
2022-11-09 17:38:02,8875278336.0,4599287808.0,1107275776.0,1075806208.0,1086160896.0,1014661120.0
2022-11-09 17:38:03,8842833920.0,4599590912.0,1090568192.0,1077387264.0,1075355648.0,1005256704.0
2022-11-09 17:38:04,8826609664.0,4599992320.0,1090908160.0,1056157696.0,1073602560.0,1005613056.0
2022-11-09 17:38:05,8821370880.0,4598915072.0,1091366912.0,1054724096.0,1075200000.0,1004118016.0
2022-11-09 17:38:06,8826105856.0,4610564096.0,1091432448.0,1054265344.0,1076436992.0,1002024960.0
2022-11-09 17:38:07,8832376832.0,4606189568.0,1092608000.0,1055862784.0,1077239808.0,1001119744.0
2022-11-09 17:38:08,8838627328.0,4629213184.0,1095458816.0,1058037760.0,1077067776.0,1002381312.0
